Cod_IBGE;Cidade;Longe;Latit
2310100;Palmácia;-38.844300;-4.138320
2310209;Paracuru;-39.030700;-3.414360
2310258;Paraipaba;-39.147800;-3.437990
2310308;Parambu;-40.690500;-6.207680
2310407;Paramoti;-39.241600;-4.088690
2310506;Pedra Branca;-39.707600;-5.454040
2310605;Penaforte;-39.070100;-7.821630
2310704;Pentecoste;-39.269700;-3.792430
2310803;Pereiro;-38.462800;-6.035750
2310852;Pindoretama;-38.306500;-4.015070
2310902;Piquet Carneiro;-39.416200;-5.800090
2310951;Pires Ferreira;-40.644400;-4.239210
2311009;Poranga;-40.920300;-4.746760
2311108;Porteiras;-39.114200;-7.522650
2311207;Potengi;-40.023300;-7.091240
2311231;Potiretama;-38.157600;-5.712900
2311264;Quiterianópolis;-40.700500;-5.842500
2311306;Quixadá;-39.015500;-4.966050
2311355;Quixelô;-39.201700;-6.246560
2311405;Quixeramobim;-39.290100;-5.190680
2311504;Quixeré;-37.980200;-5.071480
2311603;Redenção;-38.727800;-4.215870
2311702;Reriutaba;-40.575700;-4.141910
2311801;Russas;-37.975100;-4.940010
2311900;Saboeiro;-39.901200;-6.534330
2311959;Salitre;-40.455700;-7.283700
2312007;Santa Quitéria;-40.152200;-4.326100
2312106;Santana do Acaraú;-40.211900;-3.461630
2312205;Santana do Cariri;-39.730200;-7.176870
2312304;São Benedito;-40.859300;-4.047130
2312403;São Gonçalo do Amarante;-38.968300;-3.607670
2312502;São João do Jaguaribe;-38.269700;-5.275160
2312601;São Luís do Curu;-39.239100;-3.669320
2312700;Senador Pompeu;-39.370900;-5.582440
2312809;Senador Sá;-40.466100;-3.353890
2312908;Sobral;-40.348200;-3.689200
2313005;Solonópole;-39.010700;-5.718800
2313104;Tabuleiro do Norte;-38.128500;-5.243470
2313203;Tamboril;-40.319700;-4.831530
2313252;Tarrafas;-39.752900;-6.678880
2313302;Tauá;-40.310700;-5.985850
2313351;Tejuçuoca;-39.579400;-3.988310
2313401;Tianguá;-40.991300;-3.729650
2313500;Trairi;-39.268900;-3.269320
2313559;Tururu;-39.429700;-3.584130
2313609;Ubajara;-40.920600;-3.854320
2313708;Umari;-38.700700;-6.638590
2313757;Umirim;-39.346300;-3.676760
2313807;Uruburetama;-39.508600;-3.623150
2313906;Uruoca;-40.562500;-3.308600
2313955;Varjota;-40.474900;-4.193550
2314003;Várzea Alegre;-39.394000;-6.782640
2314102;Viçosa do Ceará;-41.091100;-3.562490
