#TIPO_PRODUTO;TIPO_LISTA_FILA;FILA;SUBFILA;COD_ASSUNTO;ASSUNTO;SITUACAO
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);10558;GENÉRICO - Registro de Medicamento Genérico (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);150;SIMILAR - Registro de Medicamento Similar;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);1503;Registro de Produto Similar (medicamento) para fins exclusivo de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);155;GENERICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);1554;SIMILAR - Registro de Medicamento (forma farmacêutica - Solução Parenteral).;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);1607;Registro de Medicamento Similar - Nacional;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);1608;Registro de Medicamento Similar - Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);10464;MEDICAMENTO NOVO - Registro Eletrônico de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);11306;MEDICAMENTO NOVO - Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);12248;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);12249;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);12250;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA análogo) – via de desenvolvimento completo. . ;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);12251;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA análogo) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);1458;MEDICAMENTO NOVO - Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);1502;Registro de Produto Novo (medicamentos) para fins exclusivo de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);1556;Registro de Medicamento Novo - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Priorizados (RDC 204/2017);175;Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10559;MEDICAMENTO NOVO - Registro de Concentração Nova no País (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10560;MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10561;MEDICAMENTO NOVO - Registro de Indicação Terapêutica Nova no País (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10562;MEDICAMENTO NOVO - Registro de Monodroga já Aprovada em Associação (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10563;MEDICAMENTO NOVO - Registro de Nova Associação no País (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10564;MEDICAMENTO NOVO - Registro de Nova Via de Administração no País (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);10775;MEDICAMENTO NOVO - Registro de Medicamento com mesmo(s) IFA(s) de Medicamento Novo já registrado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);11116;RDC 73/2016 - NOVO - Inclusão de nova concentração;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);11318;Medicamento Inovador - Registro de Medicamento com Inovação Diversa;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);118;Registro de Nova Associação no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12252;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova associação) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12253;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova associação) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12254;MEDICAMENTO INOVADOR - Registro de medicamento inovador (monodroga) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12255;MEDICAMENTO INOVADOR - Registro de medicamento inovador (monodroga) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12256;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova via de administração) –via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12257;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova via de administração) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12258;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova concentração) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12259;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova concentração) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12260;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova forma farmacêutica) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12261;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova forma farmacêutica) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12262;MEDICAMENTO INOVADOR - Registro de medicamento inovador (novo acondicionamento) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12263;MEDICAMENTO INOVADOR - Registro de medicamento inovador (novo acondicionamento) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12264;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova indicação terapêutica) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12265;MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova indicação terapêutica) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12266;MEDICAMENTO INOVADOR - Registro de medicamento inovador (inovação diversa) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);12267;MEDICAMENTO INOVADOR - Registro de medicamento inovador (inovação diversa) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);128;Registro de Nova Associação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1315;MEDICAMENTO NOVO - Inclusão de nova concentração no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1455;MEDICAMENTO NOVO - Registro de Concentração Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1456;MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1457;MEDICAMENTO NOVO - Registro de Indicação Terapêutica Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1459;MEDICAMENTO NOVO - Registro de Monodroga já aprovada em associação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1460;MEDICAMENTO NOVO - Registro de Nova Associação no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1461;MEDICAMENTO NOVO - Registro de Nova Via de Administração no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1504;Registro de Nova Concentração (medicamentos) para fins exclusivos de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1505;Registro de Nova Apresentação Comercial (medicamentos) para fins exclusivos de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1506;Registro de Nova Forma farmacêutica (medicamentos) para fins exclusivos de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1539;Registro de Nova Via de Administração;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1558;Registro de Monodroga já Aprovada em Associação - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1559;Registro de Via de Administração Nova no País - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1560;Registro de Concentração Nova no País - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1561;Registro de Indicação Terapêutica Nova no País - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1562;Registro de Forma Farmacêutica Nova no País - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1565;Registro de Nova Associação no País - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1589;Registro de Nova Apresentação Comercial - Nacional;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1590;Registro de Nova Apresentação Comercial - Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1598;Registro de Nova Forma Farmacêutica - Nacional;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1599;Registro de Nova Forma Farmacêutica - Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);160;Registro de Acondicionamento Novo no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1601;Registro de Nova Concentração - Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1602;Registro de Nova Concentração - Nacional;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1629;Registro de nova concentração já aprovada no país;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);1642;Registro de nova forma farmacêutica já aprovada no país;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);170;Registro de Monodroga já aprovada em associação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);172;Registro de Concentração Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);173;Registro de Indicação Terapêutica Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);174;Registro de Forma Farmacêutica Nova no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Inovadores - Priorizados (RDC 204/2017);176;Registro de Nova Via de Administração no País;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10360;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO pronto para uso;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10361;RADIOFÁRMACO - Registro de Medicamento Radiofármaco pronto para uso;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10362;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO componente não radioativo para marcação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10363;RADIOFÁRMACO - Registro de Medicamento Radiofármaco componente não radioativo para marcação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10364;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO radionuclídeo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Priorizados (RDC 204/2017);10365;RADIOFÁRMACO - Registro de medicamento radiofármaco radionuclídeo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Doenças raras (RDC 205/2017);10570;MEDICAMENTO FITOTERÁPICO - Registro de Medicamento Fitoterápico (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Doenças raras (RDC 205/2017);10688;PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Doenças raras (RDC 205/2017);10698;PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Produto Tradicional Fitoterápico  (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Doenças raras (RDC 205/2017);1697;MEDICAMENTO FITOTERÁPICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);10464;MEDICAMENTO NOVO - Registro Eletrônico de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);11306;MEDICAMENTO NOVO - Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);12248;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento completo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);12249;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);12250;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA análogo) – via de desenvolvimento completo. . ;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);12251;MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA análogo) – via de desenvolvimento abreviado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);1458;MEDICAMENTO NOVO - Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);1502;Registro de Produto Novo (medicamentos) para fins exclusivo de exportação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);1556;Registro de Medicamento Novo - Produto Importado;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Novos - Doenças raras (RDC205/2017);175;Registro de Medicamento Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10369;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10370;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento Individual;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10566;PRODUTO BIOLÓGICO - Registro de Produto (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10567;PRODUTO BIOLÓGICO - Registro de Produto Novo (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10568;PRODUTO BIOLÓGICO - Registro de Produto Biológico pela Via de Desenvolvimento Individual (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);10569;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);1528;PRODUTO BIOLÓGICO - Registro de Produto Novo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos - Doenças raras (RDC 205/2017);1529;PRODUTO BIOLÓGICO - Registro de Produto;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10360;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO pronto para uso;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10361;RADIOFÁRMACO - Registro de Medicamento Radiofármaco pronto para uso;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10362;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO componente não radioativo para marcação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10363;RADIOFÁRMACO - Registro de Medicamento Radiofármaco componente não radioativo para marcação;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10364;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO radionuclídeo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Radiofármacos - Doenças raras (RDC 205/2017);10365;RADIOFÁRMACO - Registro de medicamento radiofármaco radionuclídeo;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Doenças raras (RDC 205/2017);10556;ESPECÍFICO - Registro de Medicamento Específico (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Doenças raras (RDC 205/2017);10565;ESPECÍFICO - Registro de Medicamento Solução Parenteral (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Doenças raras (RDC 205/2017);1577;ESPECÍFICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Doenças raras (RDC 205/2017);1583;ESPECÍFICO - Registro de Medicamento - Solução Parenteral.;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Dinamizados - Doenças raras (RDC 205/2017);10555;DINAMIZADO - Registro de Medicamento Dinamizado (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Dinamizados - Doenças raras (RDC 205/2017);1619;DINAMIZADO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Produtos Biológicos;10369;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10369;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade;Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;10370;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento Individual;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10370;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento Individual;Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;10566;PRODUTO BIOLÓGICO - Registro de Produto (Parceria de Desenvolvimento Produtivo);Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10566;PRODUTO BIOLÓGICO - Registro de Produto (Parceria de Desenvolvimento Produtivo);Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;10567;PRODUTO BIOLÓGICO - Registro de Produto Novo (Parceria de Desenvolvimento Produtivo);Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10567;PRODUTO BIOLÓGICO - Registro de Produto Novo (Parceria de Desenvolvimento Produtivo);Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;10568;PRODUTO BIOLÓGICO - Registro de Produto Biológico pela Via de Desenvolvimento Individual (Parceria de Desenvolvimento Produtivo);Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10568;PRODUTO BIOLÓGICO - Registro de Produto Biológico pela Via de Desenvolvimento Individual (Parceria de Desenvolvimento Produtivo);Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;10569;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade (Parceria de Desenvolvimento Produtivo);Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;10569;PRODUTO BIOLÓGICO - Registro de Produto pela Via de Desenvolvimento por Comparabilidade (Parceria de Desenvolvimento Produtivo);Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;1528;PRODUTO BIOLÓGICO - Registro de Produto Novo;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;1528;PRODUTO BIOLÓGICO - Registro de Produto Novo;Aguardando análise
Medicamento;FILA;REGISTRO;Produtos Biológicos;1529;PRODUTO BIOLÓGICO - Registro de Produto;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Produtos Biológicos;1529;PRODUTO BIOLÓGICO - Registro de Produto;Aguardando análise
Medicamento;FILA;REGISTRO;Radiofármacos;10360;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO pronto para uso;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Radiofármacos;10360;RADIOFÁRMACO - Registro de Medicamento Radiofármaco NOVO pronto para uso;Aguardando análise
Medicamento;FILA;REGISTRO;Radiofármacos;10361;RADIOFÁRMACO - Registro de Medicamento Radiofármaco pronto para uso;Distribuído para a área responsável
Medicamento;FILA;REGISTRO;Radiofármacos;10361;RADIOFÁRMACO - Registro de Medicamento Radiofármaco pronto para uso;Aguardando análise
